mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,dbe_o,NSP,abserrPpm,sumintens,relativeintens,avemass,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
-1000,2188376,114.067261,114.067285,0.025,0.217,C4 H8 N3 O,4,8,3,1,0,9,2.25,0.25,13,1,3,0.217,2.96118E+11,7.39022E-06,432.0373351,-3,2,0.5,0.060083549,114,0.818361323,113,0.000373114,114,0.103548534,114,0.093658786,114
-1000,1953755,116.014107,116.014187,0.081,0.695,C7 H2 N O,7,2,1,1,0,3,0.428571429,0.142857143,17,6,1,0.695,2.96118E+11,6.5979E-06,432.0373351,1,7,0.285714286,0.115355478,116,0.886575546,115,0.053866939,116,0.051069481,116,0.041010935,116
343.99,3956712,121.029569,121.029503,-0.066,-0.548,C7 H5 O2,7,5,0,2,0,6,0.857142857,0.285714286,16,3,0,0.548,2.96118E+11,1.3362E-05,432.0373351,0.666666667,5,-0.285714286,0.105639624,121,0.910199687,120,0.041492924,121,0.067979917,121,0.057486539,121
-1000,2159286,131.046274,131.046216,-0.059,-0.448,C4 H7 N2 O3,4,7,2,3,0,8,2,0.75,12,-1,2,0.448,2.96118E+11,7.29199E-06,432.0373351,-3,2,1,0.100111375,131,0.971258899,130,0.030655729,131,0.087877366,131,0.076515528,131
-1000,2033305,133.991688,133.991738,0.049,0.368,C3 H4 N O3 S,3,4,1,3,1,5,1.666666667,1,9,-1,2,0.368,2.96118E+11,6.86654E-06,432.0373351,3,2,2,0.157878372,134,1.048606653,133,0.086861573,134,0.034335787,134,0.02271857,134
292.39,3955974,135.045202,135.045153,-0.049,-0.36,C8 H7 O2,8,7,0,2,0,8,1,0.25,18,3,0,0.36,2.96118E+11,1.33595E-05,432.0373351,0.571428571,5,-0.5,0.105639624,135,1.003370625,134,0.034064506,135,0.088085682,135,0.076377133,135
426.07,1949281,139.992276,139.992406,0.131,0.935,C4 H2 N3 O S,4,2,3,1,1,3,0.75,0.25,13,4,4,0.935,2.96118E+11,6.58279E-06,432.0373351,-1,5,2.5,0.163910771,140,1.094529308,139,0.089713565,140,0.036911481,140,0.024773999,140
573.36,1939236,140.994264,140.99418,-0.084,-0.598,C4 H N2 O4,4,1,2,4,0,2,0.5,1,12,1,2,0.598,2.96118E+11,6.54887E-06,432.0373351,65535,5,3,0.163255361,141,1.100533327,140,0.088527206,141,0.039003958,141,0.026779622,141
-1000,1917953,142.029991,142.029837,-0.153,-1.079,C9 H4 N O,9,4,1,1,0,5,0.555555556,0.111111111,21,7,1,1.079,2.96118E+11,6.477E-06,432.0373351,0.866666667,8,0,0.128754785,142,1.072917421,141,0.053477723,142,0.074990208,142,0.062676079,142
-1000,1995363,143.009984,143.00983,-0.154,-1.078,C4 H3 N2 O4,4,3,2,4,0,4,1,1,12,0,2,1.078,2.96118E+11,6.73841E-06,432.0373351,,4,2.5,0.149856054,143,1.100533327,142,0.074059587,143,0.055294761,143,0.042895666,143
