mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,dbe_o,NSP,abserrPpm,sumintens,relativeintens,avemass,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
121.22,14636251,214.087377,214.087352,-0.024,-0.114,C13 H12 N O2,13,12,1,2,0,13,1,0.153846154,29,6,1,0.114,2.96533E+11,4.93579E-05,439.2748877,0.545454545,8,-0.461538462,0.15169985,214,1.574874606,212,0.038231671,214,0.155413267,214,0.13685168,214
-1000,5603300,215.092531,215.092497,-0.034,-0.157,C10 H15 O5,10,15,0,5,0,16,1.6,0.5,22,-2,0,0.157,2.96533E+11,1.8896E-05,439.2748877,0.066666667,3,-0.6,0.147677204,215,1.577533798,213,0.033676289,215,0.160877816,215,0.142229082,215
-1000,2153984,215.128887,215.128883,-0.004,-0.021,C11 H19 O4,11,19,0,4,0,20,1.818181818,0.363636364,24,-2,0,0.021,2.96533E+11,7.26389E-06,439.2748877,0,2,-1.090909091,0.111331833,215,1.541430308,213,0.002688367,215,0.197275384,215,0.178623495,215
-1000,4378321,216.066658,216.066617,-0.041,-0.191,C12 H10 N O3,12,10,1,3,0,11,0.916666667,0.25,27,5,1,0.191,2.96533E+11,1.4765E-05,439.2748877,0.578947368,8,-0.166666667,0.174644915,216,1.610977104,214,0.060127708,216,0.135307502,216,0.116574311,216
114.2,21775086,216.10302,216.103002,-0.017,-0.081,C13 H14 N O2,13,14,1,2,0,15,1.153846154,0.153846154,29,5,1,0.081,2.96533E+11,7.34322E-05,439.2748877,0.454545455,7,-0.615384615,0.138300543,216,1.574874606,214,0.023764052,216,0.17170407,216,0.152967724,216
-1000,2935262,217.08713,217.087018,-0.112,-0.515,C13 H13 O3,13,13,0,3,0,14,1.076923077,0.230769231,28,4,0,0.515,2.96533E+11,9.8986E-06,439.2748877,0.47826087,7,-0.615384615,0.155383304,217,1.598498747,215,0.040325276,217,0.156032902,217,0.13721124,217
-1000,2476754,218.082356,218.082267,-0.089,-0.409,C12 H12 N O3,12,12,1,3,0,13,1.083333333,0.25,27,4,1,0.409,2.96533E+11,8.35237E-06,439.2748877,0.473684211,7,-0.333333333,0.161245608,218,1.610977104,216,0.045660089,218,0.151598305,218,0.132690354,218
-1000,2697454,218.118612,218.118652,0.041,0.187,C13 H16 N O2,13,16,1,2,0,17,1.307692308,0.153846154,29,4,1,0.187,2.96533E+11,9.09664E-06,439.2748877,0.363636364,6,-0.769230769,0.124901235,218,1.574874606,216,0.009296432,218,0.187994872,218,0.169083767,218
-1000,2493369,219.066324,219.066282,-0.042,-0.191,C12 H11 O4,12,11,0,4,0,12,1,0.333333333,26,3,0,0.191,2.96533E+11,8.4084E-06,439.2748877,0.5,7,-0.333333333,0.178329368,219,1.634602237,217,0.062222312,219,0.135926137,219,0.116932871,219
-1000,3685082,220.134299,220.134302,0.003,0.015,C13 H18 N O2,13,18,1,2,0,19,1.461538462,0.153846154,29,3,1,0.015,2.96533E+11,1.24272E-05,439.2748877,0.272727273,5,-0.923076923,0.111501928,220,1.574874606,218,0.005171187,220,0.204285675,220,0.185199811,220
96.47,6513051,221.082032,221.081932,-0.1,-0.451,C12 H13 O4,12,13,0,4,0,14,1.166666667,0.333333333,26,2,0,0.451,2.96533E+11,2.1964E-05,439.2748877,0.4,6,-0.5,0.16493006,221,1.634602237,219,0.047754693,221,0.152216939,221,0.133048915,221
42.07,10594741,221.118376,221.118318,-0.058,-0.261,C13 H17 O3,13,17,0,3,0,18,1.384615385,0.230769231,28,2,0,0.261,2.96533E+11,3.57287E-05,439.2748877,0.304347826,5,-0.923076923,0.128584689,221,1.598498747,219,0.011390037,221,0.188614507,221,0.169443327,221
35.09,40341968,221.154753,221.154703,-0.05,-0.226,C14 H21 O2,14,21,0,2,0,22,1.571428571,0.142857143,30,2,0,0.226,2.96533E+11,0.000136045,439.2748877,0.230769231,4,-1.285714286,0.092240317,221,1.562396249,219,0.02497362,221,0.225011074,221,0.20583674,221
-1000,5030036,222.113624,222.113567,-0.057,-0.258,C12 H16 N O3,12,16,1,3,0,17,1.416666667,0.25,27,2,1,0.258,2.96533E+11,1.69628E-05,439.2748877,0.263157895,5,-0.666666667,0.134446993,222,1.610977104,220,0.01672485,222,0.18417991,222,0.164922442,222
337.9,3234633,223.061255,223.061197,-0.058,-0.259,C11 H11 O5,11,11,0,5,0,12,1.090909091,0.454545455,24,1,0,0.259,2.96533E+11,1.09082E-05,439.2748877,0.411764706,6,-0.181818182,0.187875125,223,1.670704735,221,0.06965073,223,0.132111174,223,0.112771545,223
218.11,3966819,223.097587,223.097583,-0.004,-0.019,C12 H15 O4,12,15,0,4,0,16,1.333333333,0.333333333,26,1,0,0.019,2.96533E+11,1.33773E-05,439.2748877,0.3,5,-0.666666667,0.151529754,223,1.634601245,221,0.033286074,223,0.168508742,223,0.149165958,223
-1000,4466935,225.076885,225.076847,-0.038,-0.167,C11 H13 O5,11,13,0,5,0,14,1.272727273,0.454545455,24,0,0,0.167,2.96533E+11,1.50639E-05,439.2748877,0.294117647,5,-0.363636364,0.174475818,225,1.670704735,223,0.055183111,225,0.148401977,225,0.128887589,225
47.67,22768898,225.092135,225.092103,-0.032,-0.143,C15 H13 O2,15,13,0,2,0,14,0.933333333,0.133333333,32,7,0,0.143,2.96533E+11,7.67837E-05,439.2748877,0.571428571,9,-0.666666667,0.159236853,225,1.655567187,223,0.03993606,225,0.163662827,225,0.144147116,225
270.71,3558673,225.113276,225.113233,-0.044,-0.194,C12 H17 O4,12,17,0,4,0,18,1.5,0.333333333,26,0,0,0.194,2.96533E+11,1.20009E-05,439.2748877,0.2,4,-0.833333333,0.138130447,225,1.634601245,223,0.018818455,225,0.184799544,225,0.165282002,225
-1000,2070315,225.149609,225.149618,0.009,0.04,C13 H21 O3,13,21,0,3,0,22,1.692307692,0.230769231,28,0,0,0.04,2.96533E+11,6.98173E-06,439.2748877,0.130434783,3,-1.230769231,0.101786075,225,1.598498747,223,0.017545202,225,0.221196111,225,0.201675415,225
129.42,8800904,227.092507,227.092497,-0.01,-0.044,C11 H15 O5,11,15,0,5,0,16,1.454545455,0.454545455,24,-1,0,0.044,2.96533E+11,2.96793E-05,439.2748877,0.176470588,4,-0.545454545,0.161076511,227,1.670704735,225,0.040715491,227,0.164692779,227,0.145003633,227
-1000,5928610,227.128974,227.128883,-0.091,-0.401,C12 H19 O4,12,19,0,4,0,20,1.666666667,0.333333333,26,-1,0,0.401,2.96533E+11,1.99931E-05,439.2748877,0.1,3,-1,0.12473114,227,1.634601245,225,0.004350835,227,0.201090347,227,0.181398045,227
-1000,3053243,227.165327,227.165268,-0.058,-0.257,C13 H23 O3,13,23,0,3,0,24,1.846153846,0.230769231,28,-1,0,0.257,2.96533E+11,1.02965E-05,439.2748877,0.043478261,2,-1.384615385,0.088386768,227,1.598498747,225,0.032012821,227,0.237486914,227,0.217791458,227
45.57,27099860,227.20167,227.201654,-0.017,-0.074,C14 H27 O2,14,27,0,2,0,28,2,0.142857143,30,-1,0,0.074,2.96533E+11,9.1389E-05,439.2748877,0,1,-1.714285714,0.052041397,227,1.562395257,225,0.068377477,227,0.273884481,227,0.254185871,227
