mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,dbe_o,NSP,abserrPpm,sumintens,relativeintens,avemass,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
501.81,2205718,180.066668,180.066617,-0.052,-0.287,C9 H10 N O3,9,10,1,3,0,11,1.222222222,0.333333333,21,2,1,0.287,1.4779E+11,1.49246E-05,447.7206444,0.384615385,5,-0.222222222,0.134446993,180,1.331464292,179,0.039010103,180,0.123862615,180,0.108250659,180
-1000,2446213,181.086889,181.087018,0.129,0.712,C10 H13 O3,10,13,0,3,0,14,1.4,0.3,22,1,0,0.712,1.4779E+11,1.65519E-05,447.7206444,0.294117647,4,-0.8,0.115185382,181,1.318985935,180,0.019207671,181,0.144588014,181,0.128887589,181
-1000,1980226,183.040949,183.04113,0.181,0.991,C7 H7 N2 O4,7,7,2,4,0,8,1.142857143,0.571428571,18,1,2,0.991,1.4779E+11,1.33989E-05,447.7206444,0.333333333,5,0.857142857,0.163255361,183,1.380046139,182,0.066241953,183,0.099321253,183,0.083451404,183
-1000,3055698,183.066117,183.066282,0.165,0.902,C9 H11 O4,9,11,0,4,0,12,1.333333333,0.444444444,20,0,0,0.902,1.4779E+11,2.06759E-05,447.7206444,0.285714286,4,-0.444444444,0.138131446,183,1.355089425,182,0.041104707,183,0.124481249,183,0.10860922,183
-1000,2087785,183.102545,183.102668,0.123,0.671,C10 H15 O3,10,15,0,3,0,16,1.6,0.3,22,0,0,0.671,1.4779E+11,1.41267E-05,447.7206444,0.176470588,3,-1,0.101786075,183,1.318985935,182,0.004740051,183,0.160878817,183,0.145003633,183
-1000,9262415,185.081798,185.081932,0.134,0.726,C9 H13 O4,9,13,0,4,0,14,1.555555556,0.444444444,20,-1,0,0.726,1.4779E+11,6.26727E-05,447.7206444,0.142857143,3,-0.666666667,0.124732139,185,1.355089425,184,0.026637088,185,0.140772052,185,0.124725263,185
-1000,2375526,185.11814,185.118318,0.178,0.96,C10 H17 O3,10,17,0,3,0,18,1.8,0.3,22,-1,0,0.96,1.4779E+11,1.60736E-05,447.7206444,0.058823529,2,-1.2,0.088386768,185,1.318985935,184,0.009727568,185,0.177169619,185,0.161119676,185
-1000,2477644,187.061062,187.061197,0.135,0.724,C8 H11 O5,8,11,0,5,0,12,1.5,0.625,18,-2,0,0.724,1.4779E+11,1.67646E-05,447.7206444,0.090909091,3,-0.25,0.147677204,187,1.391191923,186,0.048533125,187,0.120666287,187,0.104447894,187
196.57,6663780,187.097451,187.097583,0.132,0.704,C9 H15 O4,9,15,0,4,0,16,1.777777778,0.444444444,20,-2,0,0.704,1.4779E+11,4.50894E-05,447.7206444,0,2,-0.888888889,0.111331833,187,1.355088433,186,0.012168469,187,0.157063854,187,0.140842307,187
-1000,2337664,189.091908,189.092103,0.195,1.034,C12 H13 O2,12,13,0,2,0,14,1.166666667,0.166666667,26,4,0,1.034,1.4779E+11,1.58174E-05,447.7206444,0.454545455,6,-0.833333333,0.119038931,189,1.376054375,188,0.018818455,189,0.152217939,189,0.135823465,189
