mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,dbe_o,NSP,abserrPpm,sumintens,relativeintens,avemass,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
440.13,2339610,159.081593,159.081539,-0.054,-0.34,C11 H11 O,11,11,0,1,0,12,1.090909091,0.090909091,24,5,0,0.34,1.00096E+11,2.33736E-05,400.2868923,0.523809524,6,-0.909090909,0.096092868,159,1.15360901,158,0.011778253,159,0.132113175,159,0.118320646,159
188.8,3965723,159.084742,159.08491,0.168,1.057,C8 H15 O S,8,15,0,1,1,16,2,0.125,18,0,1,1.057,1.00096E+11,3.96191E-05,400.2868923,-0.076923077,1,-1.5,0.092725632,159,1.150264183,158,0.008409231,159,0.135485246,159,0.121692426,159
288.15,3512296,161.060837,161.060803,-0.034,-0.211,C10 H9 O2,10,9,0,2,0,10,1,0.2,22,4,0,0.211,1.00096E+11,3.50892E-05,400.2868923,0.555555556,6,-0.6,0.119038931,161,1.1897125,160,0.03367529,161,0.11200641,161,0.098042277,161
8.49,19203816,163.0401,163.040068,-0.033,-0.201,C9 H7 O3,9,7,0,3,0,8,0.888888889,0.333333333,20,3,0,0.201,1.00096E+11,0.000191854,400.2868923,0.6,6,-0.222222222,0.141983996,163,1.225814998,162,0.055571327,163,0.091900645,163,0.077764908,163
198.52,7027451,163.076487,163.076453,-0.034,-0.21,C10 H11 O2,10,11,0,2,0,12,1.2,0.2,22,3,0,0.21,1.00096E+11,7.02069E-05,400.2868923,0.444444444,5,-0.8,0.105639624,163,1.1897125,162,0.019207671,163,0.128297212,163,0.114158321,163
-1000,1989006,163.112752,163.112839,0.087,0.531,C11 H15 O,11,15,0,1,0,16,1.454545455,0.090909091,24,3,0,0.531,1.00096E+11,1.98709E-05,400.2868923,0.333333333,4,-1.272727273,0.069294253,163,1.15360901,162,0.017156985,163,0.16469478,163,0.150552733,163
-1000,2389483,164.002299,164.002302,0.003,0.021,C4 H6 N O4 S,4,6,1,4,1,7,1.75,1,11,-2,2,0.021,1.00096E+11,2.38719E-05,400.2868923,65535,2,1.5,0.180824436,164,1.271052018,163,0.093901774,164,0.054440552,164,0.040221388,164
-1000,2302500,164.108132,164.108088,-0.045,-0.272,C10 H14 N O,10,14,1,1,0,15,1.5,0.1,23,3,1,0.272,1.00096E+11,2.30029E-05,400.2868923,0.294117647,4,-1,0.075156557,164,1.166087366,163,0.011822172,164,0.160260183,164,0.146031847,164
210.69,6923031,165.019366,165.019332,-0.034,-0.204,C8 H5 O4,8,5,0,4,0,6,0.75,0.5,18,2,0,0.204,1.00096E+11,6.91638E-05,400.2868923,0.666666667,6,0.25,0.16493006,165,1.261918488,164,0.077468364,165,0.071793879,165,0.057486539,165
244.56,7095084,165.055748,165.055718,-0.03,-0.182,C9 H9 O3,9,9,0,3,0,10,1.111111111,0.333333333,20,2,0,0.182,1.00096E+11,7.08826E-05,400.2868923,0.466666667,5,-0.444444444,0.128584689,165,1.225814998,164,0.041103708,165,0.108191447,165,0.093880951,165
13.07,27706176,165.092144,165.092103,-0.04,-0.245,C10 H13 O2,10,13,0,2,0,14,1.4,0.2,22,2,0,0.245,1.00096E+11,0.000276795,400.2868923,0.333333333,4,-1,0.092240317,165,1.1897125,164,0.004740051,165,0.144588014,165,0.130274364,165
467.19,2425988,167.025204,167.025086,-0.117,-0.703,C10 H3 N2 O,10,3,2,1,0,4,0.4,0.1,24,9,2,0.703,1.00096E+11,2.42366E-05,400.2868923,1,10,0.4,0.161415703,167,1.271737653,166,0.072890939,167,0.078185536,167,0.063704294,167
-1000,2300550,167.028375,167.028458,0.083,0.497,C7 H7 N2 O S,7,7,2,1,1,8,1.142857143,0.142857143,18,4,3,0.497,1.00096E+11,2.29834E-05,400.2868923,0.428571429,5,0.285714286,0.158047468,167,1.268391834,166,0.069520917,167,0.081558608,167,0.067077074,167
582.53,1960595,167.050237,167.050238,0.002,0.01,C12 H7 O,12,7,0,1,0,8,0.666666667,0.083333333,26,8,0,0.01,1.00096E+11,1.95871E-05,400.2868923,0.739130435,9,-0.5,0.136291788,167,1.246780939,166,0.047753693,167,0.103345532,167,0.088862109,167
