mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,dbe_o,NSP,abserrPpm,sumintens,relativeintens,avemass,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
113.98,6761045,191.071303,191.071368,0.065,0.339,C11 H11 O3,11,11,0,3,0,12,1.090909091,0.272727273,24,3,0,0.339,1.14141E+11,5.92341E-05,395.0801264,0.473684211,6,-0.545454545,0.141983996,191,1.412156872,190,0.040714492,191,0.132112174,191,0.115546096,191
146.44,5438066,191.107695,191.107753,0.059,0.307,C12 H15 O2,12,15,0,2,0,16,1.333333333,0.166666667,26,3,0,0.307,1.14141E+11,4.76434E-05,395.0801264,0.363636364,5,-1,0.105639624,191,1.376054375,190,0.004350835,191,0.168508742,191,0.151939509,191
-1000,3210883,191.128779,191.128883,0.103,0.54,C9 H19 O4,9,19,0,4,0,20,2.222222222,0.444444444,20,-4,0,0.54,1.14141E+11,2.81308E-05,395.0801264,-0.285714286,0,-1.333333333,0.084533218,191,1.355088433,190,0.01676677,191,0.189645459,191,0.173074394,191
-1000,2456435,192.066545,192.066617,0.072,0.374,C10 H10 N O3,10,10,1,3,0,11,1.1,0.3,23,3,1,0.374,1.14141E+11,2.15211E-05,395.0801264,0.466666667,6,-0.2,0.1478463,192,1.424635229,191,0.046049305,192,0.127677578,192,0.11102521,192
9.32,28118416,192.102925,192.103002,0.077,0.4,C11 H14 N O2,11,14,1,2,0,15,1.363636364,0.181818182,25,3,1,0.4,1.14141E+11,0.000246348,395.0801264,0.333333333,5,-0.727272727,0.111501928,192,1.388532731,191,0.009685648,192,0.164074145,192,0.147418623,192
-1000,7753869,193.050575,193.050632,0.057,0.296,C10 H9 O4,10,9,0,4,0,10,1,0.4,22,2,0,0.296,1.14141E+11,6.79324E-05,395.0801264,0.5,6,-0.2,0.16493006,193,1.448260363,192,0.062611528,193,0.112005409,193,0.095267727,193
18.74,32489642,193.08695,193.087018,0.068,0.352,C11 H13 O3,11,13,0,3,0,14,1.272727273,0.272727273,24,2,0,0.352,1.14141E+11,0.000284645,395.0801264,0.368421053,5,-0.727272727,0.128584689,193,1.412156872,192,0.026246872,193,0.148402977,193,0.131662139,193
421.59,3578541,193.090345,193.090389,0.044,0.229,C8 H17 O3 S,8,17,0,3,1,18,2.25,0.375,18,-3,1,0.229,1.14141E+11,3.13519E-05,395.0801264,-0.454545455,0,-1.25,0.125217453,193,1.408812046,192,0.02287785,193,0.151775049,193,0.135033919,193
584.5,2177715,193.098083,193.098251,0.168,0.872,C10 H13 N2 O2,10,13,2,2,0,14,1.4,0.2,24,3,2,0.872,1.14141E+11,1.90792E-05,395.0801264,0.285714286,5,-0.4,0.117364232,193,1.401011088,192,0.015020462,193,0.159639548,193,0.142897737,193
-1000,4412103,193.123317,193.123403,0.087,0.45,C12 H17 O2,12,17,0,2,0,18,1.5,0.166666667,26,2,0,0.45,1.14141E+11,3.86548E-05,395.0801264,0.272727273,4,-1.166666667,0.092240317,193,1.376054375,192,0.010116784,193,0.184799544,193,0.168055552,193
-1000,9866194,194.082204,194.082267,0.063,0.326,C10 H12 N O3,10,12,1,3,0,13,1.3,0.3,23,2,1,0.326,1.14141E+11,8.64386E-05,395.0801264,0.333333333,5,-0.4,0.134446993,194,1.424635229,193,0.031581686,194,0.14396838,194,0.127141253,194
4.89,74426104,195.06621,195.066282,0.073,0.372,C10 H11 O4,10,11,0,4,0,12,1.2,0.4,22,1,0,0.372,1.14141E+11,0.000652054,395.0801264,0.375,5,-0.4,0.151530753,195,1.448260363,194,0.048143909,195,0.128296212,195,0.11138377,195
-1000,2471682,195.081482,195.081539,0.057,0.292,C14 H11 O,14,11,0,1,0,12,0.857142857,0.071428571,30,8,0,0.292,1.14141E+11,2.16546E-05,395.0801264,0.62962963,9,-0.714285714,0.136290789,195,1.433121822,194,0.032895859,195,0.143558062,195,0.126644298,195
-1000,5504787,195.102602,195.102668,0.066,0.34,C11 H15 O3,11,15,0,3,0,16,1.454545455,0.272727273,24,1,0,0.34,1.14141E+11,4.82279E-05,395.0801264,0.263157895,4,-0.909090909,0.115185382,195,1.412156872,194,0.011779253,195,0.164693779,195,0.147778183,195
-1000,14595889,195.138983,195.139053,0.071,0.361,C12 H19 O2,12,19,0,2,0,20,1.666666667,0.166666667,26,1,0,0.361,1.14141E+11,0.000127876,395.0801264,0.181818182,3,-1.333333333,0.07884101,195,1.376054375,194,0.024584404,195,0.201090347,195,0.184171596,195
-1000,7657029,196.097846,196.097917,0.071,0.363,C10 H14 N O3,10,14,1,3,0,15,1.5,0.3,23,1,1,0.363,1.14141E+11,6.70839E-05,395.0801264,0.2,4,-0.6,0.121047686,196,1.424635229,195,0.017114066,196,0.160259182,196,0.143257297,196
-1000,2511136,196.984096,196.984009,-0.086,-0.438,C6 H N2 O6,6,1,2,6,0,2,0.333333333,1,16,1,2,0.438,1.14141E+11,2.20003E-05,395.0801264,2,7,2.666666667,0.235945104,197,1.545423065,195,0.131541848,197,0.046632883,197,0.029554173,197
656.44,2058564,197.027656,197.027789,0.132,0.672,C9 H9 O3 S,9,9,0,3,1,10,1.111111111,0.333333333,20,2,1,0.672,1.14141E+11,1.80353E-05,395.0801264,0.384615385,5,-0.222222222,0.192213989,197,1.501982983,195,0.087787529,197,0.090426801,197,0.073344295,197
1.78,1669475712,197.081857,197.081932,0.075,0.383,C10 H13 O4,10,13,0,4,0,14,1.4,0.4,22,0,0,0.383,1.14141E+11,0.014626431,395.0801264,0.25,4,-0.6,0.138131446,197,1.448260363,196,0.033676289,197,0.144587014,197,0.127499814,197
652.23,2691962,197.093089,197.093166,0.077,0.388,C9 H13 N2 O3,9,13,2,3,0,14,1.555555556,0.333333333,22,1,2,0.388,1.14141E+11,2.35845E-05,395.0801264,0.090909091,4,-0.222222222,0.12690999,197,1.437113586,196,0.022448879,197,0.155824586,197,0.138736411,197
-1000,5445007,197.118253,197.118318,0.065,0.329,C11 H17 O3,11,17,0,3,0,18,1.636363636,0.272727273,24,0,0,0.329,1.14141E+11,4.77042E-05,395.0801264,0.157894737,3,-1.090909091,0.101786075,197,1.412156872,196,0.002688367,197,0.180984582,197,0.163894227,197
-1000,4978093,197.154638,197.154703,0.065,0.33,C12 H21 O2,12,21,0,2,0,22,1.833333333,0.166666667,26,0,0,0.33,1.14141E+11,4.36135E-05,395.0801264,0.090909091,2,-1.5,0.065441703,197,1.376054375,196,0.039052023,197,0.217381149,197,0.200287639,197
-1000,2183559,198.034114,198.034271,0.158,0.796,C7 H8 N3 O2 S,7,8,3,2,1,9,1.285714286,0.285714286,19,3,4,0.796,1.14141E+11,1.91304E-05,395.0801264,0,5,0.857142857,0.186855836,198,1.503315556,196,0.081895932,198,0.097228776,198,0.080059006,198
-1000,4460714,198.077117,198.077181,0.064,0.324,C9 H12 N O4,9,12,1,4,0,13,1.444444444,0.444444444,21,0,1,0.324,1.14141E+11,3.90807E-05,395.0801264,0.166666667,4,-0.222222222,0.14399375,198,1.46073872,197,0.039011103,198,0.140152417,198,0.122978928,198
