mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,dbe_o,NSP,abserrPpm,sumintens,relativeintens,avemass,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
-1000,2679702,173.1185,173.118318,-0.182,-1.049,C9 H17 O3,9,17,0,3,0,18,2,0.333333333,20,-2,0,1.049,64085543474,4.18145E-05,373.6465182,-0.066666667,1,-1.333333333,0.07498746,173,1.225814998,172,0.01676677,173,0.173354657,173,0.158345126,173
98.28,9096772,175.116175,175.11621,0.035,0.197,C9 H19 O S,9,19,0,1,1,20,2.222222222,0.111111111,20,-1,1,0.197,64085543474,0.000141947,373.6465182,-0.2,0,-1.777777778,0.079326325,175,1.24343512,174,0.013486806,175,0.171881814,175,0.156699063,175
-1000,2200974,176.07185,176.071702,-0.148,-0.838,C10 H10 N O2,10,10,1,2,0,11,1.1,0.2,23,4,1,0.838,64085543474,3.43443E-05,373.6465182,0.5,6,-0.4,0.124901235,176,1.295361794,175,0.031581686,176,0.127677578,176,0.112411985,176
-1000,4224778,177.092275,177.092103,-0.172,-0.971,C11 H13 O2,11,13,0,2,0,14,1.272727273,0.181818182,24,3,0,0.971,64085543474,6.5924E-05,373.6465182,0.4,5,-0.909090909,0.105639624,177,1.282883437,176,0.011779253,177,0.148402977,177,0.133048915,177
-1000,2197527,177.113134,177.113233,0.099,0.558,C8 H17 O4,8,17,0,4,0,18,2.25,0.5,18,-4,0,0.558,64085543474,3.42905E-05,373.6465182,-0.333333333,0,-1.25,0.084533218,177,1.261917496,176,0.009338352,177,0.169539694,177,0.1541838,177
-1000,2055038,178.087487,178.087352,-0.135,-0.755,C10 H12 N O2,10,12,1,2,0,13,1.3,0.2,23,3,1,0.755,64085543474,3.20671E-05,373.6465182,0.375,5,-0.6,0.111501928,178,1.295361794,177,0.017114066,178,0.14396838,178,0.128528029,178
-1000,2163415,179.025049,179.025086,0.037,0.209,C11 H3 N2 O,11,3,2,1,0,4,0.363636364,0.090909091,26,10,2,0.209,64085543474,3.37582E-05,373.6465182,1,11,0.363636364,0.17481501,179,1.36490859,178,0.079930141,179,0.082000498,179,0.066478844,179
140.36,5859293,179.035176,179.034982,-0.194,-1.081,C9 H7 O4,9,7,0,4,0,8,0.888888889,0.444444444,20,2,0,1.081,64085543474,9.14292E-05,373.6465182,0.571428571,6,0,0.16493006,179,1.355089425,178,0.070039946,179,0.091899644,179,0.076377133,179
-1000,11192309,179.071559,179.071368,-0.191,-1.069,C10 H11 O3,10,11,0,3,0,12,1.2,0.3,22,2,0,1.069,64085543474,0.000174646,373.6465182,0.411764706,5,-0.6,0.128584689,179,1.318985935,178,0.03367529,179,0.128297212,179,0.112771545,179
-1000,4111105,181.050804,181.050632,-0.172,-0.95,C9 H9 O4,9,9,0,4,0,10,1.111111111,0.444444444,20,1,0,0.95,64085543474,6.41503E-05,373.6465182,0.428571429,5,-0.222222222,0.151530753,181,1.355089425,180,0.055572327,181,0.108190447,181,0.092493176,181
-1000,1996573,183.00487,183.004745,-0.125,-0.683,C6 H3 N2 O5,6,3,2,5,0,4,0.666666667,0.833333333,16,1,2,0.683,64085543474,3.11548E-05,373.6465182,1,6,2,0.199599733,183,1.416148637,182,0.10260561,183,0.062924686,183,0.047057992,183
