mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,dbe_o,NSP,abserrPpm,sumintens,relativeintens,avemass,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
-1000,4501309,275.128959,275.128883,-0.077,-0.278,C16 H19 O4,16,19,0,4,0,20,1.25,0.25,34,3,0,0.278,1.01151E+11,4.4501E-05,391.4317544,0.357142857,7,-0.75,0.178328369,275,2.007284995,273,0.032507642,275,0.216350196,275,0.192496247,275
75.91,16326480,275.165355,275.165268,-0.087,-0.315,C17 H23 O3,17,23,0,3,0,24,1.411764706,0.176470588,36,3,0,0.315,1.01151E+11,0.000161408,391.4317544,0.290322581,6,-1.058823529,0.141983996,275,1.971182497,273,0.003856015,275,0.252746764,275,0.22888966,275
90.45,33038162,275.168739,275.168639,-0.1,-0.362,C14 H27 O3 S,14,27,0,3,1,28,2,0.214285714,30,-2,1,0.362,1.01151E+11,0.000326623,391.4317544,-0.130434783,1,-1.428571429,0.138616761,275,1.96783767,273,0.007225037,275,0.256118835,275,0.232261439,275
703.87,4888407,275.176568,275.176502,-0.067,-0.242,C16 H23 N2 O2,16,23,2,2,0,24,1.5,0.125,36,4,2,0.242,1.01151E+11,4.8328E-05,391.4317544,0.230769231,6,-0.875,0.13076254,275,1.96003572,273,0.015083425,275,0.263984335,275,0.240126257,275
293.83,3515718,276.087762,276.087746,-0.016,-0.057,C14 H14 N O5,14,14,1,5,0,15,1.071428571,0.357142857,31,3,1,0.057,1.01151E+11,3.47573E-05,391.4317544,0.428571429,8,-0.142857143,0.220536044,276,2.055866842,274,0.074207111,276,0.175518032,276,0.151580948,276
11.35,12939609,276.124189,276.124132,-0.057,-0.206,C15 H18 N O4,15,18,1,4,0,19,1.266666667,0.266666667,33,3,1,0.206,1.01151E+11,0.000127924,391.4317544,0.333333333,7,-0.533333333,0.184190673,276,2.019763352,274,0.037842455,276,0.211915599,276,0.187975361,276
14.66,57246060,276.160604,276.160517,-0.087,-0.315,C16 H22 N O3,16,22,1,3,0,23,1.4375,0.1875,35,3,1,0.315,1.01151E+11,0.000565949,391.4317544,0.259259259,6,-0.875,0.1478463,276,1.983660854,274,0.001478799,276,0.248312167,276,0.224368774,276
-1000,3371393,276.19695,276.196903,-0.048,-0.172,C17 H26 N O2,17,26,1,2,0,27,1.588235294,0.117647059,37,3,1,0.172,1.01151E+11,3.33304E-05,391.4317544,0.2,5,-1.176470588,0.111500929,276,1.947557364,274,0.034885857,276,0.284709734,276,0.260763187,276
-1000,4620143,277.10819,277.108147,-0.042,-0.153,C15 H17 O5,15,17,0,5,0,18,1.2,0.333333333,32,2,0,0.153,1.01151E+11,4.56759E-05,391.4317544,0.36,7,-0.533333333,0.201274433,277,2.043388485,275,0.054404679,277,0.196243431,277,0.172217878,277
549.37,6296437,277.119503,277.119381,-0.122,-0.441,C14 H17 N2 O4,14,17,2,4,0,18,1.285714286,0.285714286,32,3,2,0.441,1.01151E+11,6.22481E-05,391.4317544,0.3,7,-0.285714286,0.190052976,277,2.032241709,275,0.043177268,277,0.207481003,277,0.183454475,277
14.95,64799620,277.144615,277.144533,-0.082,-0.297,C16 H21 O4,16,21,0,4,0,22,1.375,0.25,34,2,0,0.297,1.01151E+11,0.000640625,391.4317544,0.285714286,6,-0.875,0.164929061,277,2.007284995,275,0.018040023,277,0.232640999,277,0.208612291,277
1.32,477954976,277.180979,277.180918,-0.06,-0.217,C17 H25 O3,17,25,0,3,0,26,1.529411765,0.176470588,36,2,0,0.217,1.01151E+11,0.00472518,391.4317544,0.225806452,5,-1.176470588,0.128584689,277,1.971182497,275,0.018323634,277,0.269037566,277,0.245005703,277
660.84,12170140,277.192255,277.192152,-0.103,-0.373,C16 H25 N2 O2,16,25,2,2,0,26,1.625,0.125,36,3,2,0.373,1.01151E+11,0.000120317,391.4317544,0.153846154,5,-1,0.117363233,277,1.96003572,275,0.029551044,277,0.280275137,277,0.256242301,277
